CAI Type,Entity name,Entity number,CMS number,FRN,Location ID,Street address,City,State or territory,Zip code,Longitude,Latitude,Explanation,Broadband Need,Broadband Availability
C,Seattle Business Assistance Center,,,,,1437 SOUTH JACKSON,Seattle,WA,98144,-117.4181455,48.74181752,"Job training centers are integral to upskilling workers in Washington state and providing them with a platform to increase their digital literacy and digital skills. Equipping job training centers with 1 Gbps symmetrical broadband service will enable more trainees to connect to broadband at the job training center and will allow trainees to pursue skills training online. Further, for those Washingtonians without broadband service at home, a job training center can provide them with the connectivity needed for a successful job search and to submit applications. Job training centers serve all Washingtonians. ",1000,100
C,Brewster-Bridgeport-Pateros Senior Center,,,,,109 S Bridge St,Brewster,WA,98812,-119.781,48.09881,"Through Community Action Plans submitted by Washington counties and tribes, senior centers were cited as community support organizations that increase broadband use for aging populations. In public engagement sessions throughout the state, many older participants shared hesitancy around connecting to broadband service. The reasons behind this shared sentiment varied - from concerns about cybersecurity, to a lack of broadband availability at home, to limited broadband device adoption. Providing senior centers with 1 Gbps facilitates a safe space for digital skills training sessions targeted towards aging individuals, ultimately giving them the tools to participate in the digital society and economy. ",1000,90
C,Columbia County Senior Center,,,,,403 E Patit St,Dayton,WA,99328,-117.979966,46.323479,"Through Community Action Plans submitted by Washington counties and tribes, senior centers were cited as community support organizations that increase broadband use for aging populations. In public engagement sessions throughout the state, many older participants shared hesitancy around connecting to broadband service. The reasons behind this shared sentiment varied - from concerns about cybersecurity, to a lack of broadband availability at home, to limited broadband device adoption. Providing senior centers with 1 Gbps facilitates a safe space for digital skills training sessions targeted towards aging individuals, ultimately giving them the tools to participate in the digital society and economy. ",1000,100
C,Davenport Senior Center,,,,,728 Morgan St,Davenport,WA,99122,-118.151988,47.65426,"Through Community Action Plans submitted by Washington counties and tribes, senior centers were cited as community support organizations that increase broadband use for aging populations. In public engagement sessions throughout the state, many older participants shared hesitancy around connecting to broadband service. The reasons behind this shared sentiment varied - from concerns about cybersecurity, to a lack of broadband availability at home, to limited broadband device adoption. Providing senior centers with 1 Gbps facilitates a safe space for digital skills training sessions targeted towards aging individuals, ultimately giving them the tools to participate in the digital society and economy. ",1000,40
C,Grand Coulee Senior Center,,,,,203 Main St,Grand Coulee,WA,99133,-124.6237547,48.36803784,"Through Community Action Plans submitted by Washington counties and tribes, senior centers were cited as community support organizations that increase broadband use for aging populations. In public engagement sessions throughout the state, many older participants shared hesitancy around connecting to broadband service. The reasons behind this shared sentiment varied - from concerns about cybersecurity, to a lack of broadband availability at home, to limited broadband device adoption. Providing senior centers with 1 Gbps facilitates a safe space for digital skills training sessions targeted towards aging individuals, ultimately giving them the tools to participate in the digital society and economy. ",1000,10
C,Lummi Senior Center,,,,,2400 Lummi View Drive,Bellingham,WA,98226,-122.661503,48.72926,"Through Community Action Plans submitted by Washington counties and tribes, senior centers were cited as community support organizations that increase broadband use for aging populations. In public engagement sessions throughout the state, many older participants shared hesitancy around connecting to broadband service. The reasons behind this shared sentiment varied - from concerns about cybersecurity, to a lack of broadband availability at home, to limited broadband device adoption. Providing senior centers with 1 Gbps facilitates a safe space for digital skills training sessions targeted towards aging individuals, ultimately giving them the tools to participate in the digital society and economy. ",1000,100
C,Midland-Summit Senior Center,,,,,10205 E 44th Ave,Tacoma,WA,98446,-118.6885798,47.333172,"Through Community Action Plans submitted by Washington counties and tribes, senior centers were cited as community support organizations that increase broadband use for aging populations. In public engagement sessions throughout the state, many older participants shared hesitancy around connecting to broadband service. The reasons behind this shared sentiment varied - from concerns about cybersecurity, to a lack of broadband availability at home, to limited broadband device adoption. Providing senior centers with 1 Gbps facilitates a safe space for digital skills training sessions targeted towards aging individuals, ultimately giving them the tools to participate in the digital society and economy. ",1000,0
C,Sumas Senior Center,,,,,461 W 2nd St,Sumas,WA,98295,-122.270189,48.998149,"Through Community Action Plans submitted by Washington counties and tribes, senior centers were cited as community support organizations that increase broadband use for aging populations. In public engagement sessions throughout the state, many older participants shared hesitancy around connecting to broadband service. The reasons behind this shared sentiment varied - from concerns about cybersecurity, to a lack of broadband availability at home, to limited broadband device adoption. Providing senior centers with 1 Gbps facilitates a safe space for digital skills training sessions targeted towards aging individuals, ultimately giving them the tools to participate in the digital society and economy. ",1000,10
C,Tulalip Tribes of Washington,,,,,7300 Totem Beach Road,Tulalip,WA,98271,-122.277694,48.061251,"Through Community Action Plans submitted by Washington counties and tribes, senior centers were cited as community support organizations that increase broadband use for aging populations. In public engagement sessions throughout the state, many older participants shared hesitancy around connecting to broadband service. The reasons behind this shared sentiment varied - from concerns about cybersecurity, to a lack of broadband availability at home, to limited broadband device adoption. Providing senior centers with 1 Gbps facilitates a safe space for digital skills training sessions targeted towards aging individuals, ultimately giving them the tools to participate in the digital society and economy. ",1000,10
C,Yakama Nation Golden Eagles,,,,,91 Wishpoosh Rd,Toppenish,WA,98948,-120.339888,46.376842,"Through Community Action Plans submitted by Washington counties and tribes, senior centers were cited as community support organizations that increase broadband use for aging populations. In public engagement sessions throughout the state, many older participants shared hesitancy around connecting to broadband service. The reasons behind this shared sentiment varied - from concerns about cybersecurity, to a lack of broadband availability at home, to limited broadband device adoption. Providing senior centers with 1 Gbps facilitates a safe space for digital skills training sessions targeted towards aging individuals, ultimately giving them the tools to participate in the digital society and economy. ",1000,25
C,Washington State University Port Hadlock 4H,,,,,201 W. PATISON,Port Hadlock,WA,98339,-124.6237547,48.36803784,"Youth centers serve as a safe space for diverse, young community members. Supplying youth centers with 1 Gbps bridges the divide for those in low-income households or in rural communities, for which broadband service may not be available at home. Broadband service is particularly important for Washington's youth as more K-12 schoolwork is online, and providing necessary bandwidth to youth centers allows those without reliable broadband outside of the classroom a place to complete homework.",1000,10
