CAI Type,Subcategory,Entity name,"NCES ID
(IPEDS or PSS school ID)",Entity number,CMS number,FRN,Location ID,Street address,City,State or territory,Zip code,Longitude,Latitude,Broadband Need,Broadband Availability
C,Job Training Center,CAD*LAC Center,,,,,,302 West 2nd Street,Wapato,WA,98951,-117.6016648,46.47463041,,
C,Job Training Center,Cascadia Technical Academy,,,,,,12200 NE 28th Street,Vancouver,WA,98682,-122.547,45.64415,,
C,Job Training Center,Cascadia Technical Academy,,,,,,17718 NE 159th Street,Brush Prairie,WA,98606,-122.490414,45.7385,,
C,Job Training Center,Cascadia Technical Academy,,,,,,21609 NE 72nd Ave,Battle Ground,WA,98604,-122.2700249,48.99828916,,
C,Job Training Center,Cascadia Technical Academy,,,,,,8800 NE Hazel Dell Ave.,Vancouver,WA,98665,-122.670037,45.68595201,,
C,Job Training Center,Colfax Education and Training Center,,,,,,310 North Main Street,Colfax,WA,99111,-122.913155,46.98098516,,
C,Job Training Center,Columbia Basin Technical Skills Center,,,,,,113 E. Broadway Ave.,Moses Lake,WA,98837,-122.4514409,47.25081817,,
C,Job Training Center,Columbia Basin Technical Skills Center,,,,,,1318 W Ivy,Moses Lake,WA,98837,-122.182915,48.16261335,,
C,Job Training Center,Columbia Basin Technical Skills Center,,,,,,1418 S. Pioneer Way,Moses Lake,WA,98837,-117.4078322,47.6749905,,
C,Job Training Center,Columbia Basin Technical Skills Center,,,,,,900 East Yonezawa Blvd,Moses Lake,WA,98837,-119.2608552,47.10398375,,
C,Job Training Center,Digital Promise,,,,,,1000 2nd Ave #2700,Seattle,WA,98104,-122.3219445,47.24900098,,
C,Job Training Center,EdLab Group,,,,,,19020 33rd Ave. W. Suite 210,Lynnwood,WA,98036,-122.0051089,47.31887736,,
C,Job Training Center,InterConnection,,,,,,2222 N. Pacific St.,Seattle,WA,98103,-122.332339,47.650045,,
C,Job Training Center,Literacy Source,,,,,,720 N 35th St,Seattle,WA,98103,-122.3484793,47.65056964,,
C,Job Training Center,Mason County Literacy,,,,,,133 West Railroad Ave.,Shelton,WA,98584,-122.5580244,47.72907207,,
C,Job Training Center,New Market Skills Center,,,,,,217 S. Tower Ave,Centralia,WA,98531,-122.955376,46.714681,,
C,Job Training Center,New Market Skills Center,,,,,,2703 Capital Mall Drive SW,Olympia,WA,98502,-122.36301,47.54941385,,
C,Job Training Center,New Market Skills Center,,,,,,410 N G St,Aberdeen,WA,98501,-123.8179706,46.97943632,,
C,Job Training Center,New Market Skills Center,,,,,,7299 New Market Street SW,Tumwater,WA,98501,-122.914962,46.98223299,,
C,Job Training Center,NEWTECH Skills Center,,,,,,115 S University Rd,Spokane Valley,WA,99206,-122.2374626,48.50034737,,
C,Job Training Center,NEWTECH Skills Center,,,,,,4141 N. Regal Street,Spokane,WA,99207,-117.368687,47.69645798,,
C,Job Training Center,NEWTECH Skills Center,,,,,,801 7th St.,Davenport,WA,99122,-118.1509926,47.65153273,,
C,Job Training Center,NEWTECH Skills Center,,,,,,N. Cedar Street & 4th Ave.,Colville,WA,99114,-117.89868,48.54764004,,
C,Job Training Center,North Seattle Family Center,,,,,,3200 NE 125TH SUITE#2,Seattle,WA,98125,-122.4499015,47.18696687,,
C,Job Training Center,NW Career & Technical Academy,,,,,,1235 3rd Street,Sedro-Woolley,WA,98284,-122.7669919,47.26654041,,
C,Job Training Center,NW Career & Technical Academy,,,,,,"1609 ""R""  Ave",Anacortes,WA,98221,-122.386011,47.81008204,,
C,Job Training Center,NW Career & Technical Academy,,,,,,214 W Laurel Campus Rd,Bellingham,WA,98226,-122.3857455,47.56286378,,
C,Job Training Center,NW Career & Technical Academy,,,,,,2205 West Campus Place,Mount Vernon,WA,98273,-119.2701299,46.27159409,,
C,Job Training Center,Pierce County Skills Center,,,,,,16117 Canyon Road E.,Puyallup,WA,98375,-122.8992438,47.03906543,,
C,Job Training Center,Pierce County Skills Center,,,,,,4500 Steilacoom Blvd SW,Tacoma,WA,98409,-122.505582,47.17628398,,
C,Job Training Center,Puget Sound Skills Center,,,,,,13403 24th Pl SW,Burien,WA,98166,-122.2777496,47.82619663,,
